ID    Time                Side Role     sid Status PnL      Vol   Conf  ATR  
------------------------------------------------------------------------------------------
#729  2026-05-12T01:35:00 BUY  RECOVER  6   LOSS   -45.20 0.05  0.59  7.51 💔
#728  2026-05-12T01:25:00 BUY  RECOVER  6   LOSS   -48.45 0.05  0.64  8.02 💔
#727  2026-05-12T01:15:00 BUY  RECOVER  6   WIN     +1.00 0.05  0.66  7.86 💚
#726  2026-05-12T01:05:00 BUY  PRIMARY  5   WIN     +3.28 0.01  0.60  7.46 💚
#725  2026-05-12T00:55:00 BUY  PRIMARY  5   LOSS   -34.60 0.04  0.80  7.10 💔
#724  2026-05-12T00:25:00 BUY  PRIMARY  5   WIN     +3.10 0.02  0.56  6.55 💚
#723  2026-05-12T00:15:00 SELL PRIMARY  5   WIN    +34.44 0.04  0.83  5.42 💚
#722  2026-05-12T00:01:59 BUY  PRIMARY  5   WIN     +0.60 0.03  0.70  4.59 💚
#721  2026-05-11T23:15:00 SELL RECOVER  5   LOSS   -43.74 0.09  0.74  3.96 💔
#720  2026-05-11T22:40:00 SELL RECOVER  5   LOSS   -23.80 0.07  0.72  2.88 💔
#719  2026-05-11T22:25:00 SELL PRIMARY  5   LOSS   -15.95 0.05  0.65  2.61 💔
#718  2026-05-11T22:05:00 SELL PRIMARY  5   WIN     +3.50 0.05  0.68  3.03 💚
#717  2026-05-11T20:55:00 BUY  RECOVER  5   WIN    +45.33 0.12  0.65  2.96 💚
#716  2026-05-11T20:50:01 BUY  RECOVER  5   LOSS   -23.52 0.07  0.67  2.78 💔
#715  2026-05-11T20:20:00 BUY  RECOVER  5   WIN    +10.85 0.07  0.58  3.18 💚
#714  2026-05-11T19:55:00 SELL PRIMARY  5   LOSS   -18.25 0.05  0.67  2.92 💔
#713  2026-05-11T19:20:00 BUY  RECOVER  5   WIN    +13.65 0.07  0.64  2.97 💚
#712  2026-05-11T18:40:00 SELL RECOVER  5   WIN     +4.55 0.07  0.73  2.90 💚
#711  2026-05-11T18:35:00 BUY  RECOVER  5   WIN     +1.40 0.07  0.57  3.02 💚
#710  2026-05-11T18:25:00 SELL PRIMARY  5   LOSS   -18.45 0.05  0.68  3.05 💔
#709  2026-05-11T18:05:00 BUY  PRIMARY  5   WIN     +1.00 0.05  0.64  2.97 💚
#708  2026-05-11T17:15:00 BUY  PRIMARY  5   WIN     +0.60 0.03  0.57  4.38 💚
#707  2026-05-11T17:00:00 BUY  PRIMARY  5   WIN     +0.80 0.04  0.68  4.40 💚
#706  2026-05-11T16:45:30 BUY  PRIMARY  5   WIN     +4.65 0.03  0.56  4.34 💚
#705  2026-05-11T16:00:00 BUY  RECOVER  5   LOSS   -45.52 0.08  0.65  4.63 💔
#704  2026-05-11T13:15:00 SELL RECOVER  3   LOSS   -47.50 0.05  0.93  8.05 💔
#703  2026-05-11T13:05:00 SELL PRIMARY  3   LOSS   -36.08 0.04  0.74  7.44 💔
#702  2026-05-11T12:25:00 BUY  RECOVER  3   LOSS   -41.76 0.08  0.86  5.07 💔
#701  2026-05-11T12:20:00 BUY  RECOVER  3   WIN    +63.80 0.11  0.69  3.62 💚
#700  2026-05-11T12:10:15 BUY  RECOVER  3   WIN    +26.90 0.10  0.81  3.90 💚
